goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
Qy1,https://img.xinxinapp.net/community/imgs/20190610/d3b1706955779bc3a1c49d74f4f53bbb_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAC/魅可 棒棒糖唇釉8.5ml #106 No Interruptions泫雅色,130,xinxin://www.xinxinapp.cn?route=goodsDetail&id=0oAl&goods_id=Qy1&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,0oAl,315.0,#106 No Interruptions泫雅色热卖,https://img.xinxinapp.net/community/imgs/20190610/787add7f3a90cc0ec62b76d5cfeedc91_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,210.0,130,130.0
Dee,https://img.xinxinapp.net/community/imgs/20190613/8a4eb5a820d41ec85b545185a3900fb6_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 小金条方管细管唇膏2.2g N°21/Rouge Paradoxe,217,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Y6oP&goods_id=Dee&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,Y6oP,659.0,#21/Rouge Paradoxe,https://img.xinxinapp.net/community/imgs/20190613/3f6295c38b83571ec05676af03852571_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,335.0,217,217.0
vxL,https://img.xinxinapp.net/community/imgs/20190606/e4cb45ee2bc1fadcaaabfa68c96722e7_602x602.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 烈焰蓝金唇膏口红3.5g #999/Matte哑光版,172,xinxin://www.xinxinapp.cn?route=goodsDetail&id=wZk&goods_id=vxL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,wZk,2210.0,#999/Matte哑光版热卖,https://img.xinxinapp.net/community/imgs/20190606/0ac6add4e55aada1816ca7d26d926cea_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,315.0,172,172.0
7GN,https://img.xinxinapp.net/community/imgs/20190611/97cd275dcc479d53879f7255c8e0de98_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,TOM FORD/汤姆福特TF 黑管唇膏3g #80/Impassioned,225,xinxin://www.xinxinapp.cn?route=goodsDetail&id=oL7R&goods_id=7GN&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,oL7R,1627.0,,,,,
7GN,https://img.xinxinapp.net/community/imgs/20190611/109da9731725ec9e29c741217dfa7aa6_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,TOM FORD/汤姆福特TF 黑管唇膏3g #16/Scarlet Rouge,225,xinxin://www.xinxinapp.cn?route=goodsDetail&id=wrLa&goods_id=7GN&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,wrLa,1627.0,,,,,
wrk,https://img.xinxinapp.net/community/imgs/20190612/bccf430aeee15694ea2afb567a50dd24_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ARMANI/乔治阿玛尼 红管唇釉 #405/Sultan,209,xinxin://www.xinxinapp.cn?route=goodsDetail&id=5rwX&goods_id=wrk&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,5rwX,1890.0,#405/Sultan热卖,https://img.xinxinapp.net/community/imgs/20190828/20be499f7062873f6ddd2a49c73854cc_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,310.0,209,209.0
3G5,https://img.xinxinapp.net/community/imgs/20190625/2e8d911f5410e3cfbb89d7352de767a3_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 黑管唇釉5.5ml #416/Psychedelic Chili番茄红,177,xinxin://www.xinxinapp.cn?route=goodsDetail&id=w8LV&goods_id=3G5&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,w8LV,1567.0,,,,,
wrk,https://img.xinxinapp.net/community/imgs/20190918/2c1892eeee777c065791d4412be77340_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ARMANI/乔治阿玛尼 红管唇釉 #206/Cedar ,280,xinxin://www.xinxinapp.cn?route=goodsDetail&id=7LO7&goods_id=wrk&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,7LO7,1890.0,#206/Cedar ,https://img.xinxinapp.net/community/imgs/20190918/174af7122ea209cb914dd7a5668dd75f_90x84.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,310.0,280,280.0
xde,https://img.xinxinapp.net/community/imgs/20190918/c90bb8e715dcca3e30a30f41167411a3_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 红丝绒唇膏3.4g N37/Rouge Graine,296,xinxin://www.xinxinapp.cn?route=goodsDetail&id=8my8&goods_id=xde&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,8my8,281.0,N37/Rouge Graine,https://img.xinxinapp.net/community/imgs/20190918/0657ec7a7f1c21a84d74e2ab63afd68e_94x92.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,345.0,296,296.0
aKL,https://img.xinxinapp.net/community/imgs/20190606/c1b44d52a31321daf2cf4bc5bddc9d56_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAC/魅可 子弹头唇膏口红3g #602/Chili小辣椒,108,xinxin://www.xinxinapp.cn?route=goodsDetail&id=oak&goods_id=aKL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,oak,3001.0,#602/Chili小辣椒热卖,https://img.xinxinapp.net/community/imgs/20190606/ecf1c6492de5fcb2cd82fa95362083e0_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,170.0,108,108.0
