,Unnamed: 0,goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
0,0,ZLo,https://img.xinxinapp.net/community/imgs/20190926/d48597b58967b286847f359388e3b584_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔,138,xinxin://www.xinxinapp.cn?route=goodsDetail&id=aPxJ&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,aPxJ,54.0,#02/灰棕色,https://img.xinxinapp.net/community/imgs/20190926/6300388f0cb4e6b40d4149e87bfd197d_44x45.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200,138,138
1,1,ZLo,https://img.xinxinapp.net/community/imgs/20190926/0e986dc35a3ea94622ec80cca8fa1f0f_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔,144,xinxin://www.xinxinapp.cn?route=goodsDetail&id=mY2x&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,mY2x,54.0,#06/深棕色,https://img.xinxinapp.net/community/imgs/20190926/384021395a9334035727f46b53571a15_42x39.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200,144,144
2,2,ZLo,https://img.xinxinapp.net/community/imgs/20190926/2ad30d6883625a97e4b363606d9c16e1_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔,150,xinxin://www.xinxinapp.cn?route=goodsDetail&id=JOJP&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,JOJP,54.0,#05/深灰色,https://img.xinxinapp.net/community/imgs/20190926/6227a8b882a1d715ce7e7617d1985e9c_42x42.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200,150,150
3,3,ZLo,https://img.xinxinapp.net/community/imgs/20190926/a238be6c38dfcd60508518d135ab147c_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔,375,xinxin://www.xinxinapp.cn?route=goodsDetail&id=KgJQ&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,KgJQ,54.0,#02/灰棕色（三支装）,https://img.xinxinapp.net/community/imgs/20190926/3cfd6342448b9ef3fb982ea9092c57fe_44x45.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,600,375,375
4,4,ZLo,https://img.xinxinapp.net/community/imgs/20190926/1b39bd614dfb6c4cc9a6dd8f2ceb37d5_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔,159,xinxin://www.xinxinapp.cn?route=goodsDetail&id=qD8y&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,qD8y,54.0,#07/栗棕色,https://img.xinxinapp.net/community/imgs/20190926/1ec9f7d4f8bfb1b7be9e21665f11612f_42x42.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200,159,159
5,5,VDR,https://img.xinxinapp.net/community/imgs/20190612/75c4df22c5e4bcfc331cffeac55df4ca_870x870.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,KATE/凯朵 立体造型三色眉粉2.2g,85,xinxin://www.xinxinapp.cn?route=goodsDetail&id=a1q8&goods_id=VDR&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,a1q8,6.0,EX-5,,99,85,85
6,6,ZLo,https://img.xinxinapp.net/community/imgs/20190926/822e674a0ba5e4ff5b9e0f0e484c286f_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔,139,xinxin://www.xinxinapp.cn?route=goodsDetail&id=nDrB&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,nDrB,54.0,#03/红棕色,https://img.xinxinapp.net/community/imgs/20190926/daa597059018d53b0f8fcabccf1ad404_46x47.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200,139,139
7,7,VDR,https://img.xinxinapp.net/community/imgs/20190612/2d600192393430a8ba7cbec7fa5dc945_870x870.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,KATE/凯朵 立体造型三色眉粉2.2g,85,xinxin://www.xinxinapp.cn?route=goodsDetail&id=pdqX&goods_id=VDR&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,pdqX,6.0,EX-4,,99,85,85
8,8,g20,https://img.xinxinapp.net/community/imgs/20190701/b6f0956d8517e36dce0797a62a08ee07_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=aP73&goods_id=g20&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,aP73,0.0,#433/灰金,https://img.xinxinapp.net/community/imgs/20190701/b03cb8d1b57b547889997673b546e828_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,220,--,0
9,9,g20,https://img.xinxinapp.net/community/imgs/20190701/d30b7207874df1e074074f7ab88d709c_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=mY5K&goods_id=g20&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,mY5K,0.0,#653/金色,https://img.xinxinapp.net/community/imgs/20190701/c5d6d1cbe62f1dd6b6d8b540574211a6_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,220,--,0
10,10,g20,https://img.xinxinapp.net/community/imgs/20190701/127c1e3142030a53a73e06a66a17cf0f_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=nD0X&goods_id=g20&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,nD0X,0.0,#453/淡棕,https://img.xinxinapp.net/community/imgs/20190701/13067843bb127b25dd15f585902750d1_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,220,--,0
11,11,g20,https://img.xinxinapp.net/community/imgs/20190701/03e1d39564b55cdf86dd8555c8a6932a_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=qD9v&goods_id=g20&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,qD9v,0.0,#693/深棕,https://img.xinxinapp.net/community/imgs/20190701/5892be4ed937580ef384355202680b8c_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,220,--,0
12,12,g20,https://img.xinxinapp.net/community/imgs/20190701/9dc5aa17ca67b0091a56ff6a88fd7dad_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=pYQ6&goods_id=g20&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,pYQ6,0.0,#093/黑色,https://img.xinxinapp.net/community/imgs/20190701/1d2a512caf70628745a4681a88650320_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,220,--,0
