goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
Awb,https://img.xinxinapp.net/community/imgs/20190606/a576ff46b3d9f92994321b0af0db7906_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 四色四宫格散粉4*3g #01/Mousseline Pastel 慕斯淡彩,294,xinxin://www.xinxinapp.cn?route=goodsDetail&id=208&goods_id=Awb&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,208,692.0,#01/Mousseline Pastel 慕斯淡彩,https://img.xinxinapp.net/community/imgs/20190624/d4bbcab42c03d6d70035265e148f6988_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,535.0,294,294.0
wR9,https://img.xinxinapp.net/community/imgs/20190809/5f1171b7dba8c1949ecfaeea65b0e79c_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 流光美肌轻透蜜粉饼（大白饼） 透明色10g,221,xinxin://www.xinxinapp.cn?route=goodsDetail&id=BzXz&goods_id=wR9&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,BzXz,205.0,透明色10g,https://img.xinxinapp.net/community/imgs/20190809/edb901b0571f2c7b68fbba5496df3c95_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,400.0,221,221.0
Awb,https://img.xinxinapp.net/community/imgs/20190606/fa525242b1c263e7d0778720494ecbf9_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 四色四宫格散粉4*3g #07/Voile Rose 薄纱玫瑰,300,xinxin://www.xinxinapp.cn?route=goodsDetail&id=wBD&goods_id=Awb&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,wBD,692.0,#07/Voile Rose 薄纱玫瑰,https://img.xinxinapp.net/community/imgs/20190624/499a60541cd9700b345f29467245eb0c_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,535.0,300,300.0
Awb,https://img.xinxinapp.net/community/imgs/20190606/73f5ad77d635e98302be38b9e2920716_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 四色四宫格散粉4*3g #05/Satin Blanc 丝缎珍珠,300,xinxin://www.xinxinapp.cn?route=goodsDetail&id=oQk&goods_id=Awb&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,oQk,692.0,#05/Satin Blanc 丝缎珍珠,https://img.xinxinapp.net/community/imgs/20190624/98b02bf7a200c7f9e8a3894a78184495_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,535.0,300,300.0
qBe,https://img.xinxinapp.net/community/imgs/20190614/a4a431b02b54628d53b40be6653b7728_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CPB/肌肤之钥 亮采柔肤粉10g #17,519,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Vxg3&goods_id=qBe&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Vxg3,4.0,#17,https://img.xinxinapp.net/community/imgs/20190617/b1a95ccfae6ff169e044096562e90972_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,700.0,519,519.0
Y3Yx,https://img.xinxinapp.net/community/imgs/20191115/b94a185af845dbc0944645d3ccf2be00_573x572.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 2019圣诞限量散粉 #N°10/Sparkling Mousseline,400,xinxin://www.xinxinapp.cn?route=goodsDetail&id=mOJA&goods_id=Y3Yx&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,mOJA,3.0,,,,,
Dp5,https://img.xinxinapp.net/community/imgs/20190610/54fc9dd7e1e8893c401bb2792c5139d4_1047x1047.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 凝脂粉饼9g #010/象牙白,375,xinxin://www.xinxinapp.cn?route=goodsDetail&id=JaxX&goods_id=Dp5&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,JaxX,26.0,#010/象牙白,https://img.xinxinapp.net/community/imgs/20190610/5ea80eb792ac844fa166c0d5316a5036_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,570.0,375,375.0
k5x,https://img.xinxinapp.net/community/imgs/20190611/1b2f5b5a315afcbc18d7a4dfa3387846_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,COSME DECORTE /黛珂 AQMW柔光缎采蜜粉20g #080/Glow Pink,244,xinxin://www.xinxinapp.cn?route=goodsDetail&id=rqak&goods_id=k5x&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,rqak,44.0,#080/Glow Pink,https://img.xinxinapp.net/community/imgs/20190611/f3e8f1dfcc021423e513426c286ec6ce_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,380.0,244,244.0
ZaV,https://img.xinxinapp.net/community/imgs/20190912/58d0d4ec8e2bd818e344f996d4660743_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 蘑菇头散粉 #1,275,xinxin://www.xinxinapp.cn?route=goodsDetail&id=OEOJ&goods_id=ZaV&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,OEOJ,6.0,#1,,335.0,275,275.0
k5x,https://img.xinxinapp.net/community/imgs/20190611/f7e97282fc5fdf354a81b207fed749d0_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,COSME DECORTE /黛珂 AQMW柔光缎采蜜粉20g #010/Misty Beige,255,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Kon6&goods_id=k5x&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Kon6,44.0,#010/Misty Beige,https://img.xinxinapp.net/community/imgs/20190611/b8a1f286f6ae6e586a4ab47d4d2656c6_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,380.0,255,255.0
EQ1,https://img.xinxinapp.net/community/imgs/20190611/6980f6a7f0d21964e5afdab49374ecda_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,LAURA MERCIER/罗拉玛斯亚 透明散粉 29g,224,xinxin://www.xinxinapp.cn?route=goodsDetail&id=KnR8&goods_id=EQ1&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,KnR8,18.0,29g,,450.0,224,224.0
