goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
wZk,https://img.xinxinapp.net/community/imgs/20190612/af6c9a6adaa461b0b9ee8492368ee5fe_465x539.png?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NYX 六色遮瑕盘9g #3C（新版）,86,xinxin://www.xinxinapp.cn?route=goodsDetail&id=KGRp&goods_id=wZk&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,KGRp,59.0,#3C（新版）,,140,86,86
wxD6,https://img.xinxinapp.net/community/imgs/20191104/f51a71602d139561db20e87c777cbce7_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Custard,175,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Xbq9&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Xbq9,16.0,Custard,https://img.xinxinapp.net/community/imgs/20191104/72257b73c6a91b9cd47011d24142060a_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,175,175
ya7,https://img.xinxinapp.net/community/imgs/20190612/583f2add2b7c76190b61c063397e5f65_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ÍPSΛ/茵芙莎 纯美无瑕三色遮瑕膏清仓价 4.5g,215,xinxin://www.xinxinapp.cn?route=goodsDetail&id=BXy8&goods_id=ya7&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,BXy8,10.0,4.5g,,290,215,215
wxD6,https://img.xinxinapp.net/community/imgs/20191104/bdbe6deacc326ef13a7919cd97922ce0_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Vanilla,160,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Q2vp&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Q2vp,16.0,Vanilla,https://img.xinxinapp.net/community/imgs/20191104/0450db6e50c16cbcbf547b7e6bd5d4fb_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,160,160
wxD6,https://img.xinxinapp.net/community/imgs/20191104/0400d5745160ce49620f1b5f8aa53cb7_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Honey,175,xinxin://www.xinxinapp.cn?route=goodsDetail&id=eR39&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,eR39,16.0,Honey,https://img.xinxinapp.net/community/imgs/20191104/bd58a76b211e766679a7d1c6f5bf5d1a_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,175,175
wZk,https://img.xinxinapp.net/community/imgs/20190612/44289edd42ce8f9c16a280eacc5f7697_465x539.png?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NYX 六色遮瑕盘9g #3C（旧版）,108,xinxin://www.xinxinapp.cn?route=goodsDetail&id=vaJg&goods_id=wZk&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,vaJg,59.0,#3C（旧版）,,140,108,108
wxD6,https://img.xinxinapp.net/community/imgs/20191104/b3c71c42c23fe88f1b5a6c343a13ad0c_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Chantilly,220,xinxin://www.xinxinapp.cn?route=goodsDetail&id=pr0A&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,pr0A,16.0,Chantilly,https://img.xinxinapp.net/community/imgs/20191104/59c1d6a824f8a3edfd6cd9efed779887_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,220,220
wZk,https://img.xinxinapp.net/community/imgs/20190612/5fcbc77df7f6b32dfaabe896dbc2acb5_497x556.png?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NYX 六色遮瑕盘9g #019（旧版）,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=P1nz&goods_id=wZk&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,P1nz,59.0,#019（旧版）,,140,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/e7b38ba36242dc6913920a06ab8faa49_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Ginger,145,xinxin://www.xinxinapp.cn?route=goodsDetail&id=EQXn&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,EQXn,16.0,Ginger,https://img.xinxinapp.net/community/imgs/20191104/69b7b41f62bed2f8242ad3b2b9718390_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,145,145
5ll,https://img.xinxinapp.net/community/imgs/20190903/b850ef990868c49caebbc73fe0623897_670x1005.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,stila 七色遮瑕盘13g 常规,198,xinxin://www.xinxinapp.cn?route=goodsDetail&id=pYYd&goods_id=5ll&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,pYYd,0.0,常规,https://img.xinxinapp.net/community/imgs/20190903/f0e719c99663c07cb8c1c6811e94fe71_670x1005.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,315,198,198
wZk,https://img.xinxinapp.net/community/imgs/20190612/879bf9bd2bd8eff8fe7a59b45e1ba647_497x556.png?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NYX 六色遮瑕盘9g #01（新版）,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=5rYw&goods_id=wZk&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,5rYw,59.0,#01（新版）,,140,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/1abda0a39435f07ce4250508d1f98772_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Macadamia,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Ln3L&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Ln3L,16.0,Macadamia,https://img.xinxinapp.net/community/imgs/20191104/86eb7e2cae7813f40866fd5f9e8feb74_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
5Pb6,https://img.xinxinapp.net/community/imgs/20191104/b9d78787f2bd247fdf6fc32a6f16d492_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,完美日记 遮瑕液 #B00自然偏白70ml,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=0dpR&goods_id=5Pb6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,0dpR,0.0,#B00自然偏白70ml,,39,--,0
5Pb6,https://img.xinxinapp.net/community/imgs/20191104/98ee15cc08ac17f6b2900d6c1310ddad_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,完美日记 遮瑕液 #C10白皙色70ml,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=7g1D&goods_id=5Pb6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,7g1D,0.0,#C10白皙色70ml,,39,--,0
5Pb6,https://img.xinxinapp.net/community/imgs/20191104/3d2aa34e3058ecb93b531d6252393429_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,完美日记 遮瑕液 #B10自然色70ml,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=bRkr&goods_id=5Pb6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,bRkr,0.0,#B10自然色70ml,,39,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/a583d702021ef4b3a0d567f6a2b24443_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Sucre Dorge,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=DQGd&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,DQGd,16.0,Sucre Dorge,https://img.xinxinapp.net/community/imgs/20191104/b57920b4de81c749cf1227d2dcf732c8_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/cc6fb7f920072e8a81d0b8004076b125_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Cannelle,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=YPLZ&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,YPLZ,16.0,Cannelle,https://img.xinxinapp.net/community/imgs/20191104/69f8c848624a19c29b61eb7ef657e42f_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
