goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min,engName.1,chiName.1,Name.1,engName,chiName,Name,Code,Color
ZLo,https://img.xinxinapp.net/community/imgs/20190926/d48597b58967b286847f359388e3b584_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔 #02/灰棕色,135,xinxin://www.xinxinapp.cn?route=goodsDetail&id=aPxJ&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,aPxJ,65.0,#02/灰棕色,https://img.xinxinapp.net/community/imgs/20190926/6300388f0cb4e6b40d4149e87bfd197d_44x45.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200.0,135,135.0,shu uemura,植村秀,经典砍刀眉笔,shu uemura,植村秀,经典砍刀眉笔,02,灰棕色
ZLo,https://img.xinxinapp.net/community/imgs/20190926/1b39bd614dfb6c4cc9a6dd8f2ceb37d5_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔 #07/栗棕色,159,xinxin://www.xinxinapp.cn?route=goodsDetail&id=qD8y&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,qD8y,65.0,#07/栗棕色,https://img.xinxinapp.net/community/imgs/20190926/1ec9f7d4f8bfb1b7be9e21665f11612f_42x42.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200.0,159,159.0,shu uemura,植村秀,经典砍刀眉笔,shu uemura,植村秀,经典砍刀眉笔,07,栗棕色
oa39,https://img.xinxinapp.net/community/imgs/20191104/ab4a0c16c6929f591ef352a433489906_500x500.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #深灰色05,190,xinxin://www.xinxinapp.cn?route=goodsDetail&id=rwKX&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,rwKX,0.0,#深灰色05（hot）,https://img.xinxinapp.net/community/imgs/20191104/7df431a949b86e22fbd717d465c13505_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,190,190.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,深灰色05
ZLo,https://img.xinxinapp.net/community/imgs/20190926/2ad30d6883625a97e4b363606d9c16e1_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔 #05/深灰色,143,xinxin://www.xinxinapp.cn?route=goodsDetail&id=JOJP&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,JOJP,65.0,#05/深灰色,https://img.xinxinapp.net/community/imgs/20190926/6227a8b882a1d715ce7e7617d1985e9c_42x42.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200.0,143,143.0,shu uemura,植村秀,经典砍刀眉笔,shu uemura,植村秀,经典砍刀眉笔,05,深灰色
ZLo,https://img.xinxinapp.net/community/imgs/20190926/0e986dc35a3ea94622ec80cca8fa1f0f_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔 #06/深棕色,141,xinxin://www.xinxinapp.cn?route=goodsDetail&id=mY2x&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,mY2x,65.0,#06/深棕色,https://img.xinxinapp.net/community/imgs/20190926/384021395a9334035727f46b53571a15_42x39.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200.0,141,141.0,shu uemura,植村秀,经典砍刀眉笔,shu uemura,植村秀,经典砍刀眉笔,06,深棕色
oa39,https://img.xinxinapp.net/community/imgs/20191104/a026229a37e5274eb157388b6edc8983_500x500.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #深棕色06,190,xinxin://www.xinxinapp.cn?route=goodsDetail&id=o2bN&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,o2bN,0.0,#深棕色06,https://img.xinxinapp.net/community/imgs/20191104/dd734f9ba0bc61c93985d0c0206f5ee9_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,190,190.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,深棕色06
oa39,https://img.xinxinapp.net/community/imgs/20191104/cc8ca500b131fe070818a12eb23a6d8a_850x850.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #灰棕色02,207,xinxin://www.xinxinapp.cn?route=goodsDetail&id=2Grv&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,2Grv,0.0,#灰棕色02（hot）,https://img.xinxinapp.net/community/imgs/20191104/113a5bd411e47ea625a7e36b81ef5e1a_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,207,207.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,灰棕色02
ZLo,https://img.xinxinapp.net/community/imgs/20190926/822e674a0ba5e4ff5b9e0f0e484c286f_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔 #03/红棕色,128,xinxin://www.xinxinapp.cn?route=goodsDetail&id=nDrB&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,nDrB,65.0,#03/红棕色,https://img.xinxinapp.net/community/imgs/20190926/daa597059018d53b0f8fcabccf1ad404_46x47.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200.0,128,128.0,shu uemura,植村秀,经典砍刀眉笔,shu uemura,植村秀,经典砍刀眉笔,03,红棕色
g20,https://img.xinxinapp.net/community/imgs/20190701/b6f0956d8517e36dce0797a62a08ee07_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔 #433/灰金,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=aP73&goods_id=g20&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,aP73,0.0,#433/灰金,https://img.xinxinapp.net/community/imgs/20190701/b03cb8d1b57b547889997673b546e828_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,220.0,--,0.0,DIOR,迪奥,眉笔,DIOR,迪奥,眉笔,433,灰金
g20,https://img.xinxinapp.net/community/imgs/20190701/d30b7207874df1e074074f7ab88d709c_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔 #653/金色,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=mY5K&goods_id=g20&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,mY5K,0.0,#653/金色,https://img.xinxinapp.net/community/imgs/20190701/c5d6d1cbe62f1dd6b6d8b540574211a6_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,220.0,--,0.0,DIOR,迪奥,眉笔,DIOR,迪奥,眉笔,653,金色
g20,https://img.xinxinapp.net/community/imgs/20190701/127c1e3142030a53a73e06a66a17cf0f_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔 #453/淡棕,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=nD0X&goods_id=g20&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,nD0X,0.0,#453/淡棕,https://img.xinxinapp.net/community/imgs/20190701/13067843bb127b25dd15f585902750d1_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,220.0,--,0.0,DIOR,迪奥,眉笔,DIOR,迪奥,眉笔,453,淡棕
g20,https://img.xinxinapp.net/community/imgs/20190701/03e1d39564b55cdf86dd8555c8a6932a_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔 #693/深棕,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=qD9v&goods_id=g20&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,qD9v,0.0,#693/深棕,https://img.xinxinapp.net/community/imgs/20190701/5892be4ed937580ef384355202680b8c_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,220.0,--,0.0,DIOR,迪奥,眉笔,DIOR,迪奥,眉笔,693,深棕
