goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,engName,chiName,Name,size
knb,https://img.xinxinapp.net/community/imgs/20190617/db27ba21435650a78f8b4224f934bb33_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Calvin Klein/卡文克莱 One 唯一中性男士女士香水 100ml,168,xinxin://www.xinxinapp.cn?route=goodsDetail&id=6aV&goods_id=knb&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,6aV,136.0,Calvin Klein,卡文克莱,One 唯一中性男士女士香水,100.0
Z7R,https://img.xinxinapp.net/community/imgs/20190617/14d2f97245f9987f91807f5f50742e12_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,HERMÈS/爱马仕 大地男士香水 50ml,378,xinxin://www.xinxinapp.cn?route=goodsDetail&id=18K1&goods_id=Z7R&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,18K1,47.0,HERMÈS,爱马仕,大地男士香水,50.0
peX,https://img.xinxinapp.net/community/imgs/20190611/f0ac6d43e57046fbc0d251e24dc9f915_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 黑鸦片香水浓香水 50ml,655,xinxin://www.xinxinapp.cn?route=goodsDetail&id=J3Ga&goods_id=peX&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,J3Ga,9.0,YSL,圣罗兰,黑鸦片香水浓香水,50.0
Q5K,https://img.xinxinapp.net/community/imgs/20190621/1789b18bf8bcaaa28cb2267991086dbd_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 反转巴黎女士浓香水 90ml,620,xinxin://www.xinxinapp.cn?route=goodsDetail&id=113n&goods_id=Q5K&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,113n,58.0,YSL,圣罗兰,反转巴黎女士浓香水,90.0
wX9,https://img.xinxinapp.net/community/imgs/20190621/001ff66fc60dbc0da5ab2efc757ee702_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 反转巴黎女士花溢香水 50ml,547,xinxin://www.xinxinapp.cn?route=goodsDetail&id=E0Vw&goods_id=wX9&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,E0Vw,21.0,YSL,圣罗兰,反转巴黎女士花溢香水,50.0
GK0,https://img.xinxinapp.net/community/imgs/20190612/7c080618287677af1c568e52c7de0118_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHANEL/香奈儿 蔚蓝男士淡香水 50ml,512,xinxin://www.xinxinapp.cn?route=goodsDetail&id=ZoXV&goods_id=GK0&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,ZoXV,20.0,CHANEL,香奈儿,蔚蓝男士淡香水,50.0
zpo,https://img.xinxinapp.net/community/imgs/20190624/a5897fcae70031b3b348df579d23bdac_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ANNA SUI/安娜苏 安娜苏许愿精灵女士淡香水 50ml,207,xinxin://www.xinxinapp.cn?route=goodsDetail&id=lOZQ&goods_id=zpo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,lOZQ,65.0,ANNA SUI,安娜苏,安娜苏许愿精灵女士淡香水,50.0
aR8,https://img.xinxinapp.net/community/imgs/20190617/849b6df141f8c7009d7e63c39c40052a_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHANEL/香奈儿 可可小姐馥郁香水 50ml,698,xinxin://www.xinxinapp.cn?route=goodsDetail&id=YLyQ&goods_id=aR8&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,YLyQ,6.0,CHANEL,香奈儿,可可小姐馥郁香水,50.0
YBJ,https://img.xinxinapp.net/community/imgs/20190617/a5cf0479de670897bc1b7b246259c347_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Calvin Klein/卡文克莱 One Be 中性男士女士淡香水 100ml,144,xinxin://www.xinxinapp.cn?route=goodsDetail&id=09O9&goods_id=YBJ&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,09O9,57.0,Calvin Klein,卡文克莱,One Be 中性男士女士淡香水,100.0
0qg,https://img.xinxinapp.net/community/imgs/20190612/f991c292cf1f475831b7ae1ba6f885d0_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ANNA SUI/安娜苏 独角兽女士淡香水 75ml,376,xinxin://www.xinxinapp.cn?route=goodsDetail&id=yRw1&goods_id=0qg&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,yRw1,52.0,ANNA SUI,安娜苏,独角兽女士淡香水,75.0
