,Unnamed: 0,goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
0,0,bxbr,https://img.xinxinapp.net/community/imgs/20191025/3731385a5013fe3fa5a8055e6c97fc91_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAKE UP FOR EVER/浮生若梦 丝绒无瑕持妆粉饼,311,xinxin://www.xinxinapp.cn?route=goodsDetail&id=AagJ&goods_id=bxbr&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22hotFeed%22%2C%22from_url_id%22%3A%22%22%7D,AagJ,4.0,R210 瓷白色,https://img.xinxinapp.net/community/imgs/20191025/b51c2305f4386edd4d8fddc71178b7ec_400x400.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,430,311,311
1,1,bxbr,https://img.xinxinapp.net/community/imgs/20191025/fe09f98ffa2fc29bf0389f06790dcbba_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAKE UP FOR EVER/浮生若梦 丝绒无瑕持妆粉饼,311,xinxin://www.xinxinapp.cn?route=goodsDetail&id=K1B7&goods_id=bxbr&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,K1B7,4.0,Y255 玉白色,https://img.xinxinapp.net/community/imgs/20191025/14610858c963fee42e95e7c275dbceca_400x400.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,430,311,311
2,2,a3e,https://img.xinxinapp.net/community/imgs/20190904/2f68f4b60e197765eb889a2734cf3814_2000x2000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,LA MER/海蓝之谜 鎏光焕变蜜粉8g,621,xinxin://www.xinxinapp.cn?route=goodsDetail&id=gDR3&goods_id=a3e&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,gDR3,0.0,透明色,https://img.xinxinapp.net/community/imgs/20190904/5561ddaa66631775d14258dccd50854b_83x79.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,760,621,621
3,3,bxbr,https://img.xinxinapp.net/community/imgs/20191025/efda781bdda2eb78a1c492f1aa2797ca_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAKE UP FOR EVER/浮生若梦 丝绒无瑕持妆粉饼,311,xinxin://www.xinxinapp.cn?route=goodsDetail&id=kYgJ&goods_id=bxbr&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,kYgJ,4.0,Y215 杏仁白,https://img.xinxinapp.net/community/imgs/20191025/de54ca6db71159ada56d9453e2005c34_400x400.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,430,311,311
6,6,Awb,https://img.xinxinapp.net/community/imgs/20190606/a576ff46b3d9f92994321b0af0db7906_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 四色四宫格散粉4*3g,300,xinxin://www.xinxinapp.cn?route=goodsDetail&id=208&goods_id=Awb&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,208,580.0,#01/Mousseline Pastel 慕斯淡彩,https://img.xinxinapp.net/community/imgs/20190624/d4bbcab42c03d6d70035265e148f6988_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,535,300,300
7,7,wR9,https://img.xinxinapp.net/community/imgs/20190809/5f1171b7dba8c1949ecfaeea65b0e79c_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS/纳斯 流光美肌轻透蜜粉饼（大白饼）,221,xinxin://www.xinxinapp.cn?route=goodsDetail&id=BzXz&goods_id=wR9&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,BzXz,165.0,透明色10g,https://img.xinxinapp.net/community/imgs/20190809/edb901b0571f2c7b68fbba5496df3c95_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,400,221,221
8,8,Awb,https://img.xinxinapp.net/community/imgs/20190606/73f5ad77d635e98302be38b9e2920716_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 四色四宫格散粉4*3g,313,xinxin://www.xinxinapp.cn?route=goodsDetail&id=oQk&goods_id=Awb&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,oQk,580.0,#05/Satin Blanc 丝缎珍珠,https://img.xinxinapp.net/community/imgs/20190624/98b02bf7a200c7f9e8a3894a78184495_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,535,312,312
9,9,Awb,https://img.xinxinapp.net/community/imgs/20190606/0353f051ab8c3442eb2c40766acef79d_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 四色四宫格散粉4*3g,311,xinxin://www.xinxinapp.cn?route=goodsDetail&id=rzz&goods_id=Awb&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,rzz,580.0,#02/Taffetas Bege 塔夫米色,https://img.xinxinapp.net/community/imgs/20190624/52a25b0cee333b3439e3761b1b2ca6cc_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,535,310,310
10,10,Awb,https://img.xinxinapp.net/community/imgs/20190606/fa525242b1c263e7d0778720494ecbf9_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 四色四宫格散粉4*3g,310,xinxin://www.xinxinapp.cn?route=goodsDetail&id=wBD&goods_id=Awb&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,wBD,580.0,#07/Voile Rose 薄纱玫瑰,https://img.xinxinapp.net/community/imgs/20190624/499a60541cd9700b345f29467245eb0c_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,535,308,308
11,11,k5x,https://img.xinxinapp.net/community/imgs/20190611/1b2f5b5a315afcbc18d7a4dfa3387846_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,COSME DECORTE /黛珂 AQMW柔光缎采蜜粉20g,243,xinxin://www.xinxinapp.cn?route=goodsDetail&id=rqak&goods_id=k5x&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,rqak,37.0,#080/Glow Pink,https://img.xinxinapp.net/community/imgs/20190611/f3e8f1dfcc021423e513426c286ec6ce_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,380,243,243
